ID,IMEI,厂商,型号,版本标注
1,1017900,@Road,iWM 3150,2010.11.18老版本
2,35989700,2K,CatFinder 4,2010.11.18老版本
3,35285101,2N,2N,2010.11.18老版本
4,35641300,2N,ATEUS,2010.11.18老版本
5,35926700,3GNET,TOP-861,2010.11.18老版本
6,35276703,3Q,S3+,2010.11.18老版本
7,35964900,4G,NCX-1- NCXV-1- XSCard C1- XSCard C2- XSCard C3- XSCard C4,2010.11.18老版本
8,35805900,4Machine,4Machine Ltd T32S,2010.11.18老版本
9,35816200,4Machine,4Machine Ltd T42S,2010.11.18老版本
10,35232300,4P,DAT500,2010.11.18老版本
11,35233800,4P,DAT500,2010.11.18老版本
12,35233900,4P,DAT400,2010.11.18老版本
13,35506700,4P,DAT400,2010.11.18老版本
14,35127200,A,BELCOM-GSM,2010.11.18老版本
15,35096322,A.P.,AT 420,2010.11.18老版本
16,35533700,ABB,Neptuno; IDM-Master,2010.11.18老版本
17,49000741,ABB,Veriphon D 45-1,2010.11.18老版本
18,49002441,ABB,Veriphon D45-2H,2010.11.18老版本
19,350963,ABB,Veriphon D45-1P,2010.11.18老版本
20,35622703,ABEO,BK66,2010.11.18老版本
21,35157401,Absolute,Vefify location SAZO GSM- SAZO GSM/GPS,2010.11.18老版本
22,35336501,ACAL,Wavecom,2010.11.18老版本
23,35773900,AccentroniX,Cell Switch,2010.11.18老版本
24,1076200,Accetio,2189,2010.11.18老版本
25,35178800,Accord,A830,2010.11.18老版本
26,35169704,ACE,Z9700 / Z9630,2010.11.18老版本
27,33003198,acer,acer Type G 201,2010.11.18老版本
28,44842063,acer,XG818,2010.11.18老版本
29,44876463,acer,G620,2010.11.18老版本
30,44876563,acer,G520,2010.11.18老版本
31,44876663,acer,G630,2010.11.18老版本
32,44876763,acer,G530,2010.11.18老版本
33,44881263,acer,G625,2010.11.18老版本
34,44916663,acer,D68/GSM 2W/DSC 1W Handportable,2010.11.18老版本
35,44916763,acer,D65/GSM 2W/DSC 1W Handportable,2010.11.18老版本
36,44916863,acer,D66/GSM 2W/DSC 1W Handportable,2010.11.18老版本
37,44916963,acer,D70; Konka 3238,2010.11.18老版本
38,44917063,acer,D75/GSM 2W/DSC 1W Handportable,2010.11.18老版本
39,44917163,acer,D77/GSM 2W/DSC 1W Handportable,2010.11.18老版本
40,44922263,acer,G530M,2010.11.18老版本
41,44922363,acer,G520M,2010.11.18老版本
42,44928763,acer,D75F/GSM 2W/DCS1W Handportable,2010.11.18老版本
43,44928963,acer,XG530,2010.11.18老版本
44,44933273,acer,D70; Konka 3238,2010.11.18老版本
45,50000302,acer,G70,2010.11.18老版本
46,50000402,acer,G75,2010.11.18老版本
47,50001802,acer,D70,2010.11.18老版本
48,50001902,acer,D65,2010.11.18老版本
49,50002002,acer,D66,2010.11.18老版本
50,50002102,acer,D66,2010.11.18老版本
51,50002202,acer,D68,2010.11.18老版本
52,50002302,acer,D68,2010.11.18老版本
53,50002402,acer,D70,2010.11.18老版本
54,50002502,acer,D70,2010.11.18老版本
55,50002602,acer,D75,2010.11.18老版本
56,50002702,acer,D75,2010.11.18老版本
57,50002802,acer,D77,2010.11.18老版本
58,50002902,acer,D77,2010.11.18老版本
59,52025201,acer,P80,2010.11.18老版本
60,330031,acer,G201,2010.11.18老版本
61,50002700,acer,D75,2010.11.18老版本
62,50002600,acer,D75,2010.11.18老版本
63,50002701,acer,D75,2010.11.18老版本
64,50002601,acer,D75,2010.11.18老版本
65,35066000,acer,D792/GSM,2010.11.18老版本
66,35066001,acer,D792/GSM,2010.11.18老版本
67,35066002,acer,D792/GSM,2010.11.18老版本
68,50002201,acer,D68,2010.11.18老版本
69,50002200,acer,D68,2010.11.18老版本
70,50002300,acer,D68,2010.11.18老版本
71,50002301,acer,D68,2010.11.18老版本
72,35065901,acer,D791/GSM,2010.11.18老版本
73,35065902,acer,D791/GSM,2010.11.18老版本
74,35065900,acer,D791/GSM,2010.11.18老版本
75,44916701,acer,D65,2010.11.18老版本
76,50001901,acer,D65,2010.11.18老版本
77,44916702,acer,D65,2010.11.18老版本
78,44916700,acer,D65,2010.11.18老版本
79,50001900,acer,D65,2010.11.18老版本
80,50002901,acer,D77,2010.11.18老版本
81,44917101,acer,D77,2010.11.18老版本
82,44917100,acer,D77,2010.11.18老版本
83,44917102,acer,D77,2010.11.18老版本
84,50002900,acer,D77,2010.11.18老版本
85,44916800,acer,D66,2010.11.18老版本
86,44916801,acer,D66,2010.11.18老版本
87,50002101,acer,D66,2010.11.18老版本
88,50002100,acer,D66,2010.11.18老版本
89,44916802,acer,D66,2010.11.18老版本
90,44933202,acer,D70,2010.11.18老版本
91,50001801,acer,D70,2010.11.18老版本
92,44933201,acer,D70,2010.11.18老版本
93,50002500,acer,D70,2010.11.18老版本
94,44933200,acer,D70,2010.11.18老版本
95,50002501,acer,D70,2010.11.18老版本
96,50001800,acer,D70,2010.11.18老版本
97,35036901,ACeS,ACeS R190 and ACeS Fixed Phone R190,2010.11.18老版本
98,35695000,Acte,Q2501B,2010.11.18老版本
99,35241600,ACTIVE,HORUS,2010.11.18老版本
100,35347200,ACTL,eWON,2010.11.18老版本
101,35358001,Adajia,Adajia,2010.11.18老版本
102,35372100,Adajia,ADAJIA EVC H8201,2010.11.18老版本
103,35372200,Adajia,ADAJIA EVC H820H,2010.11.18老版本
104,35372300,Adajia,ADAJIA EVC K1-SUPER-1000,2010.11.18老版本
